items,@timestamp,serialnumber,type
in19-train-fw02,2020-12-12 14:30:13.203156,FDO2108A229,Serial_int
tw52-pan-2,2020-12-12 14:30:13.203156,FDO2105E2CF,Serial_int
fi03-pan-1,2020-12-12 14:30:13.203156,FXS2130Q27J,Serial_int
de06-c3650-1.internal.synopsys.com,2020-12-12 14:30:13.203156,FDO1651P2M0,Serial_int
de06-pan-1,2020-12-12 14:30:13.203156,FDO2035Q0Q0,Serial_int
nl20-pan-1,2020-12-12 14:30:13.203156,FDO2035E1F8,Serial_int
gb11-vpn-router.internal.synopsys.com,2020-12-12 14:30:13.203156,FDO2035E1FJ,Serial_int
gb14-mpls-router.internal.synopsys.com,2020-12-12 14:30:13.203156,FOC2202R1Q8,Serial_int
mdc-pan-1,2020-12-12 14:30:13.203156,FDO2202A0JU,Serial_int
mdc-pan-2,2020-12-12 14:30:13.203156,FDO2202A0DA,Serial_int
fr65-pan-1,2020-12-12 14:30:13.203156,FDO2202A01S,Serial_int
fr65-pan-2,2020-12-12 14:30:13.203156,FXS2151Q4BQ,Serial_int
fr65-c3850-1.internal.synopsys.com,2020-12-12 14:30:13.203156,FTX1606ALB7,Serial_int
lk01-pan-1,2020-12-12 14:30:13.203156,FDO2241A3MN,Serial_int
pl01-pan-1,2020-12-12 14:30:13.203156,FGL220181L6,Serial_int
pl01-mpls-router.internal.synopsys.com,2020-12-12 14:30:13.203156,FGL2204808A,Serial_int
pl01-vpn-router.internal.synopsys.com,2020-12-12 14:30:13.203156,FDO2016A0D2,Serial_int
gb12-pan-1,2020-12-12 14:30:13.203156,FLM2210V0G6,Serial_int
cn42-pan-1,2020-12-12 14:30:13.203156,FDO2136E1AX,Serial_int
cn42-pan-2,2020-12-12 14:30:13.203156,FLM2204W093,Serial_int
mdc-level3-router,2020-12-12 14:30:13.203156,FLM2104W2MT,Serial_int
mdc-colt-router.internal.synopsys.com,2020-12-12 14:30:13.203156,FLM2008W0WL,Serial_int
fr42-vpn-router.internal.synopsys.com,2020-12-12 14:30:13.203156,FCW2151G0NG,Serial_int
gb11-pan-1,2020-12-12 14:30:13.203156,FGL220181PB,Serial_int
pt01-pan-1,2020-12-12 14:30:13.203156,FGL17181038,Serial_int
in19-c3850-1.internal.synopsys.com,2020-12-12 14:30:13.203156,FDO2202Q173,Serial_int
ru20-pan-1,2020-12-12 14:30:13.203156,FDO2226A416,Serial_int
am04-pan-1,2020-12-12 14:30:13.203156,FOC2225Q0H8,Serial_int
am04-pan-2,2020-12-12 14:30:13.203156,FDO2226A419,Serial_int
am04-c3560-console,2020-12-12 14:30:13.203156,FJC2204D1KK,Serial_int
am04-c9500-1.internal.synopsys.com,2020-12-12 14:30:13.203156,FXS2029Q335,Serial_int
in74-pan-1,2020-12-12 14:30:13.203156,FXS2212Q1N4,Serial_int
PT02-hp-CoreSwitch,2020-12-12 14:30:13.203156,FXS2130Q27P,Serial_int
PT02-DCswitch-B,2020-12-12 14:30:13.203156,FDO2151A1FD,Serial_int
PT02-OfficeSwitch-1,2020-12-12 14:30:13.203156,FCW2023B6YS,Serial_int
PT02-OfficeSwitch-2,2020-12-12 14:30:13.203156,FXS1832Q206,Serial_int
in19-a7010,2020-12-12 14:30:13.203156,FOC2221Q0JL,Serial_int
in32-fw01,2020-12-12 14:30:13.203156,FCW2232G0CL,Serial_int
kr02-a7010-dmz,2020-12-12 14:30:13.203156,FDO2138Q069,Serial_int
kr02-c3650-1.internal.synopsys.com,2020-12-12 14:30:13.203156,FLM2011W0TT,Serial_int
kr02-c3750x-1,2020-12-12 14:30:13.203156,FXS2213Q3N4,Serial_int
kr02-c4510-1.internal.synopsys.com,2020-12-12 14:30:13.203156,FXS2225Q1ZS,Serial_int
kr02-n5548-1a.internal.synopsys.com,2020-12-12 14:30:13.203156,FCW2224C040,Serial_int
kr02-pan-1,2020-12-12 14:30:13.203156,FXS2240Q0VG,Serial_int
