items,@timestamp,serialnumber,type
ca11-mpls-router.internal.synopsys.com,2020-12-12 14:30:13.203156,FDO2204I2LR,Serial_us
bldgb3-c2960x-haps-1,2020-12-12 14:30:13.203156,FOC2143R0VY,Serial_us
bldga4-c2960x-zebu-1.internal.synopsys.com,2020-12-12 14:30:13.203156,FXS2151Q2MP,Serial_us
bldga5-c2960x-1.internal.synopsys.com,2020-12-12 14:30:13.203156,FXS2145Q0YT,Serial_us
badc-n9516-2,2020-12-12 14:30:13.203156,FOX2126P5F1,Serial_us
us6p-mpls-router.internal.synopsys.com,2020-12-12 14:30:13.203156,FJC2102D06Y,Serial_us
us8e-lab-fw01,2020-12-12 14:30:13.203156,FJC2102D06Z,Serial_us
us03-fw01,2020-12-12 14:30:13.203156,FCW1947B4SM,Serial_us
cma-eu.internal.synopsys.com,2020-12-12 14:30:13.203156,FDO204323ZK,Serial_us
cma-eu-new.internal.synopsys.com,2020-12-12 14:30:13.203156,FDO20432436,Serial_us
us03-cma-americas.internal.synopsys.com,2020-12-12 14:30:13.203156,FLM2203W0JB,Serial_us
us03-cma-asia.internal.synopsys.com,2020-12-12 14:30:13.203156,FLM2203W0JC,Serial_us
us03-cma-eu.internal.synopsys.com,2020-12-12 14:30:13.203156,FDO21352JPC,Serial_us
savvis-mgr-r80.internal.synopsys.com,2020-12-12 14:30:13.203156,FDO2143Q0BM,Serial_us
savvis-mlm2.internal.synopsys.com,2020-12-12 14:30:13.203156,FLM2210V0G1,Serial_us
clm-eu2.internal.synopsys.com,2020-12-12 14:30:13.203156,FOC1747W4SC,Serial_us
us04-c3850-1.internal.synopsys.com,2020-12-12 14:30:13.203156,FDO224821P2,Serial_us
solarwinds-intl.internal.synopsys.com,2020-12-12 14:30:13.203156,FOC2242R1HK,Serial_us
solarwinds-intl-p1.internal.synopsys.com,2020-12-12 14:30:13.203156,FOC2243R125,Serial_us
badc-n5648-199a-sig-1a,2020-12-12 14:30:13.203156,FDO1734H0SB,Serial_us
badc-n5696-199a-1a,2020-12-12 14:30:13.203156,FXS2308Q1RZ,Serial_us
badc-n5696-199a-1b,2020-12-12 14:30:13.203156,FDO2108E0L5,Serial_us
bldgb-c2960x-zebu-1.internal.synopsys.com,2020-12-12 14:30:13.203156,FJC2209D027,Serial_us
bldgb-c2960x-zebu-2.internal.synopsys.com,2020-12-12 14:30:13.203156,FJC2109D0H3,Serial_us
network-script.internal.synopsys.com,2020-12-12 14:30:13.203156,CAT2242L6EA,Serial_us
ca06-fw02,2020-12-12 14:30:13.203156,FCW2307F0Q5,Serial_us
ca06-fw01,2020-12-12 14:30:13.203156,TTM23150010,Serial_us
badc-cloud-pan-2,2020-12-12 14:30:13.203156,FCW2315FT6T,Serial_us
badc-cloud-n5648-1a,2020-12-12 14:30:13.203156,CAT2312L04R,Serial_us
badc-cloud-n5648-1b,2020-12-12 14:30:13.203156,CAT2242L6FH,Serial_us
us04-a7010,2020-12-12 14:30:13.203156,FGE23025D69,Serial_us
badc-n9300-1433-1b,2020-12-12 14:30:13.203156,FDO1429P0WC,Serial_us
badc-n9300-1433-1a,2020-12-12 14:30:13.203156,FDO230420M3,Serial_us
badc-n5648-1601-1a,2020-12-12 14:30:13.203156,FDO23110UC0,Serial_us
badc-n5648-1601-1b,2020-12-12 14:30:13.203156,FDO2314130P,Serial_us
ca17-c2960x-lab.internal.synopsys.com,2020-12-12 14:30:13.203156,SSI194308T8,Serial_us
badc-cloud-router-1.internal.synopsys.com,2020-12-12 14:30:13.203156,FOX2217PHMA,Serial_us
badc-cloud-router-2.internal.synopsy.com,2020-12-12 14:30:13.203156,SSI194308W4,Serial_us
badc-cloud-c3850-ext-1.internal.synopsys.com,2020-12-12 14:30:13.203156,FOX2217PHN2,Serial_us
badc-cloud-c3850-ext-2.internal.synopsys.com,2020-12-12 14:30:13.203156,FCW2030A4TE,Serial_us
badc-cloud-pan-1,2020-12-12 14:30:13.203156,FCW2312A60Y,Serial_us
badc-cloud-ram-1,2020-12-12 14:30:13.203156,FJC2345W234,Serial_us
us59-a7010,2020-12-12 14:30:13.203156,FDO23040PW6,Serial_us
us36-a7010,2020-12-12 14:30:13.203156,FOC1907R04L,Serial_us
cl01-a7010,2020-12-12 14:30:13.203156,FDO1640H07C,Serial_us
us1a-c3650-1.internal.synopsys.com,2020-12-12 14:30:13.203156,FDO230906HF,Serial_us
ca17-c3650-1.internal.synopsys.com,2020-12-12 14:30:13.203156,FJC2403A00A,Serial_us
ca17-a7010,2020-12-12 14:30:13.203156,FJC2403A009,Serial_us
ca17-vpn-router.internal.synopsys.com,2020-12-12 14:30:13.203156,FXS2349Q3A2,Serial_us
us1a-a7010,2020-12-12 14:30:13.203156,FDO2314130S,Serial_us
us1a-c2960-1.internal.synopsys.com,2020-12-12 14:30:13.203156,FDO232014ZP,Serial_us
us8w-swmodule.internal.synopsys.com,2020-12-12 14:30:13.203156,JAE2033045F,Serial_us
badc-n5696-321-1a,2020-12-12 14:30:13.203156,FDO2320152Y,Serial_us
badc-n5696-321-1b,2020-12-12 14:30:13.203156,FDO241610YE,Serial_us
us1a-c9407-1.internal.synopsys.com,2020-12-12 14:30:13.203156,FDO243805YL,Serial_us
ca17-fw01,2020-12-12 14:30:13.203156,FDO243805YM,Serial_us
badc-n5596-1702-1b,2020-12-12 14:30:13.203156,FOX1526H07M,Serial_us
badc-n5596-1230-1a,2020-12-12 14:30:13.203156,FOX1524GJLK,Serial_us
badc-n5596-1230-1b,2020-12-12 14:30:13.203156,FOX1705H1AQ,Serial_us
badc-n5596-1230-2a,2020-12-12 14:30:13.203156,FOX1706GD88,Serial_us
badc-n5596-1230-2b,2020-12-12 14:30:13.203156,FOX1706GDM0,Serial_us
ca06-mpls-router.internal.synopsys.com,2020-12-12 14:30:13.203156,FLM2122V0AF,Serial_us
us03-c2960-cyclades.internal.synopsys.com,2020-12-12 14:30:13.203156,FOC1638W25B,Serial_us
us03-n5596-1b.internal.synopsys.com,2020-12-12 14:30:13.203156,FOX1544H0Z0,Serial_us
us04-vpn-router.internal.synopsys.com,2020-12-12 14:30:13.203156,FJC2112D0HS,Serial_us
us05-c3560x-1.internal.synopsys.com,2020-12-12 14:30:13.203156,FDO1745R1QN,Serial_us
us05-c3560-2.internal.synopsys.com,2020-12-12 14:30:13.203156,CAT1024N4FU,Serial_us
us08-c3560x-1.internal.synopsys.com,2020-12-12 14:30:13.203156,FDO1745R1DB,Serial_us
us11-c3560x-1.internal.synopsys.com,2020-12-12 14:30:13.203156,FDO1745R1DD,Serial_us
us8k-c4507-1.internal.synopsys.com,2020-12-12 14:30:13.203156,FOX1447GWPC,Serial_us
