items,@timestamp,type,network_device_type
de02-cucm-1.internal.synopsys.com,2022-01-11 14:30:01.842505,detailed,US_NON_NETWORK_STUFF
indc-cucm-1.internal.synopsys.com,2022-01-11 14:30:01.842505,detailed,US_NON_NETWORK_STUFF
jp01-cucm-1.internal.synopsys.com,2022-01-11 14:30:01.842505,detailed,US_NON_NETWORK_STUFF
us03-voice-gw-01.internal.synopsys.com,2022-01-11 14:30:01.842505,detailed,US_NON_NETWORK_STUFF
us03-voice-gw-02.internal.synopsys.com,2022-01-11 14:30:01.842505,detailed,US_NON_NETWORK_STUFF
us01-juniper-lic.internal.synopsys.com,2022-01-11 14:30:01.842505,detailed,US_NON_NETWORK_STUFF
ca42-exinda,2022-01-11 14:30:01.842505,detailed,US_NON_NETWORK_STUFF
us8w-exinda,2022-01-11 14:30:01.842505,detailed,US_NON_NETWORK_STUFF
indc-mpls-router.internal.synopsys.com,2022-01-11 14:30:01.842505,detailed,US_NON_NETWORK_STUFF
jp01-vpn-router.internal.synopsys.com,2022-01-11 14:30:01.842505,detailed,US_NON_NETWORK_STUFF
mdc-vpn-router.internal.synopsys.com,2022-01-11 14:30:01.842505,detailed,US_NON_NETWORK_STUFF
indc-vpn-router.internal.synopsys.com,2022-01-11 14:30:01.842505,detailed,US_NON_NETWORK_STUFF
sv2-ccasp-cube.internal.synopsys.com,2022-01-11 14:30:01.842505,detailed,US_NON_NETWORK_STUFF
indc-c4500x-1.internal.synopsys.com,2022-01-11 14:30:01.842505,detailed,US_NON_NETWORK_STUFF
tw52-c6880-1,2022-01-11 14:30:01.842505,detailed,US_NON_NETWORK_STUFF
jp01-c4900m-1-32.internal.synopsys.com,2022-01-11 14:30:01.842505,detailed,US_NON_NETWORK_STUFF
jp01-c4900m-2-32.internal.synopsys.com,2022-01-11 14:30:01.842505,detailed,US_NON_NETWORK_STUFF
be06-c3560x-1,2022-01-11 14:30:01.842505,detailed,US_NON_NETWORK_STUFF
de11-c3560x-1.internal.synopsys.com,2022-01-11 14:30:01.842505,detailed,US_NON_NETWORK_STUFF
de04-c3850-1,2022-01-11 14:30:01.842505,detailed,US_NON_NETWORK_STUFF
in01-c6880x-1.internal.synopsys.com,2022-01-11 14:30:01.842505,detailed,US_NON_NETWORK_STUFF
in09-c6880x-1.internal.synopsys.com,2022-01-11 14:30:01.842505,detailed,US_NON_NETWORK_STUFF
in23-c4506-1.internal.synopsys.com,2022-01-11 14:30:01.842505,detailed,US_NON_NETWORK_STUFF
in18-c4510-1.internal.synopsys.com,2022-01-11 14:30:01.842505,detailed,US_NON_NETWORK_STUFF
in7b-c6880x-1.internal.synopsys.com,2022-01-11 14:30:01.842505,detailed,US_NON_NETWORK_STUFF
in25-c3560-1.internal.synopsys.com,2022-01-11 14:30:01.842505,detailed,US_NON_NETWORK_STUFF
fi03-c4510-1,2022-01-11 14:30:01.842505,detailed,US_NON_NETWORK_STUFF
sg01-c3750x-core.internal.synopsys.com,2022-01-11 14:30:01.842505,detailed,US_NON_NETWORK_STUFF
cn30-c4500x-1.internal.synopsys.com,2022-01-11 14:30:01.842505,detailed,US_NON_NETWORK_STUFF
tw01-c6880-1.internal.synopsys.com,2022-01-11 14:30:01.842505,detailed,US_NON_NETWORK_STUFF
tw04-c4510-1.internal.synopsys.com,2022-01-11 14:30:01.842505,detailed,US_NON_NETWORK_STUFF
be06-mpls-router.internal.synopsys.com,2022-01-11 14:30:01.842505,detailed,US_NON_NETWORK_STUFF
de06-c3560-1.internal.synopsys.com,2022-01-11 14:30:01.842505,detailed,US_NON_NETWORK_STUFF
de11-c3560x-1,2022-01-11 14:30:01.842505,detailed,US_NON_NETWORK_STUFF
fi01-c3650-1,2022-01-11 14:30:01.842505,detailed,US_NON_NETWORK_STUFF
fr42-c3560-1.internal.synopsys.com,2022-01-11 14:30:01.842505,detailed,US_NON_NETWORK_STUFF
gb01-c4506-1.internal.synopsys.com,2022-01-11 14:30:01.842505,detailed,US_NON_NETWORK_STUFF
gb11-c3850-1.internal.synopsys.com,2022-01-11 14:30:01.842505,detailed,US_NON_NETWORK_STUFF
gb12-c3850-1.internal.synopsys.com,2022-01-11 14:30:01.842505,detailed,US_NON_NETWORK_STUFF
ie02-c4510-1,2022-01-11 14:30:01.842505,detailed,US_NON_NETWORK_STUFF
il01-c4500x-1.internal.synopsys.com,2022-01-11 14:30:01.842505,detailed,US_NON_NETWORK_STUFF
it01-c3560-1.internal.synopsys.com,2022-01-11 14:30:01.842505,detailed,US_NON_NETWORK_STUFF
nl20-c3560x-1.internal.synopsys.com,2022-01-11 14:30:01.842505,detailed,US_NON_NETWORK_STUFF
pl01-c3750x-1.internal.synopsys.com,2022-01-11 14:30:01.842505,detailed,US_NON_NETWORK_STUFF
pt01-c4900m-01,2022-01-11 14:30:01.842505,detailed,US_NON_NETWORK_STUFF
pt01-c4900m-02.internal.synopsys.com,2022-01-11 14:30:01.842505,detailed,US_NON_NETWORK_STUFF
pt02-c4500x-1.internal.synopsys.com,2022-01-11 14:30:01.842505,detailed,US_NON_NETWORK_STUFF
se80-c3560-1.internal.synopsys.com,2022-01-11 14:30:01.842505,detailed,US_NON_NETWORK_STUFF
in25-c4510-1.internal.synopsys.com,2022-01-11 14:30:01.842505,detailed,US_NON_NETWORK_STUFF
savvis-cig-rt-fw01,2022-01-11 14:30:01.842505,detailed,US_NON_NETWORK_STUFF
NEXTOP-SOFT.ear1.SanJose1.Level3.net,2022-01-11 14:30:01.842505,detailed,US_NON_NETWORK_STUFF
de02-c4510-1.internal.synopsys.com,2022-01-11 14:30:01.842505,detailed,US_NON_NETWORK_STUFF
us8k-pan-1,2022-01-11 14:30:01.842505,detailed,US_PAN_DC_FW
us6j-pan-1.internal.synopsys.com,2022-01-11 14:30:01.842505,detailed,US_PAN_DC_FW
us03-pan-1,2022-01-11 14:30:01.842505,detailed,US_PAN_DC_FW
us03-pan-2,2022-01-11 14:30:01.842505,detailed,US_PAN_DC_FW
ca06-pan-1,2022-01-11 14:30:01.842505,detailed,US_PAN_DC_FW
ca06-pan-2,2022-01-11 14:30:01.842505,detailed,US_PAN_DC_FW
ca09-pan-1,2022-01-11 14:30:01.842505,detailed,US_PAN_DC_FW
us04-pan-1,2022-01-11 14:30:01.842505,detailed,US_PAN_DC_FW
ca11-pan-1,2022-01-11 14:30:01.842505,detailed,US_PAN_DC_FW
us8e-pan-1,2022-01-11 14:30:01.842505,detailed,US_PAN_DC_FW
us95-pan-1,2022-01-11 14:30:01.842505,detailed,US_PAN_DC_FW
cl01-pan-1,2022-01-11 14:30:01.842505,detailed,US_PAN_DC_FW
