machinetype,@timestamp,vendor,network_device_type,type
Cisco VG224,2020-12-12 14:30:13.203156,Cisco,NON_NETWORK_STUFF,MachineType_INT
Cisco WS-C4507,2020-12-12 14:30:13.203156,Cisco,SWITCH_ACCESS,MachineType_INT
Cisco WS-C4507R+E,2020-12-12 14:30:13.203156,Cisco,SWITCH_CORE,MachineType_INT
Cisco WS-C4507R+E,2020-12-12 14:30:13.203156,Cisco,SWITCH_LAB,MachineType_INT
Exinda Networks,2020-12-12 14:30:13.203156,Exinda Networks,NON_NETWORK_STUFF,MachineType_INT
IP290,2020-12-12 14:30:13.203156,Nokia Data Communications,CHECKPOINT_FW,MachineType_INT
MAG-SM160,2020-12-12 14:30:13.203156,"Neoteris, Inc.",JUNOS_PULSE,MachineType_INT
"Neoteris, Inc.",2020-12-12 14:30:13.203156,"Neoteris, Inc.",JUNOS_PULSE,MachineType_INT
net-snmp - Linux,2020-12-12 14:30:13.203156,net-snmp,CHECKPOINT_FW,MachineType_INT
net-snmp - Linux,2020-12-12 14:30:13.203156,net-snmp,JUNOS_PULSE,MachineType_INT
net-snmp - Linux,2020-12-12 14:30:13.203156,net-snmp,NON_NETWORK_STUFF,MachineType_INT
Nexus 5648Q,2020-12-12 14:30:13.203156,Cisco,SWITCH_DC,MachineType_INT
Nexus 9396PX,2020-12-12 14:30:13.203156,Cisco,ACI_STUFF,MachineType_INT
PA-3000,2020-12-12 14:30:13.203156,Palo Alto Networks,PAN_DC_FW,MachineType_INT
PA-3000,2020-12-12 14:30:13.203156,Palo Alto Networks,PAN_LAB_FW,MachineType_INT
PA-3050,2020-12-12 14:30:13.203156,Palo Alto Networks,PAN_DC_FW,MachineType_INT
PA-5050,2020-12-12 14:30:13.203156,Palo Alto Networks,PAN_DC_FW,MachineType_INT
PacketShaper 3500,2020-12-12 14:30:13.203156,Packeteer Inc.,NON_NETWORK_STUFF,MachineType_INT
Palo Alto Networks,2020-12-12 14:30:13.203156,Palo Alto Networks,PAN_DC_FW,MachineType_INT
Palo Alto Networks,2020-12-12 14:30:13.203156,Palo Alto Networks,PAN_DMZ_FW,MachineType_INT
Palo Alto Networks,2020-12-12 14:30:13.203156,Palo Alto Networks,PAN_INTERNET_FW,MachineType_INT
Palo Alto Networks,2020-12-12 14:30:13.203156,Palo Alto Networks,SCS_STUFF,MachineType_INT
ProCurve Switch 5406zl J8697A,2020-12-12 14:30:13.203156,HP,SWITCH_CORE,MachineType_INT
ProCurve Switch 5406zl J8697A,2020-12-12 14:30:13.203156,HP,SWITCH_DC,MachineType_INT
ProCurve Switch 5412zl,2020-12-12 14:30:13.203156,HP,SWITCH_ACCESS,MachineType_INT
"Raritan Computer, Inc.",2020-12-12 14:30:13.203156,"Raritan Computer, Inc.",NON_NETWORK_STUFF,MachineType_INT
Riverbed Steelhead,2020-12-12 14:30:13.203156,Riverbed Technology,RIVERBED,MachineType_INT
Tandberg ASA,2020-12-12 14:30:13.203156,Tandberg ASA,NON_NETWORK_STUFF,MachineType_INT
TANDBERG Video Communication Server,2020-12-12 14:30:13.203156,Tandberg ASA,NON_NETWORK_STUFF,MachineType_INT
